name,creator,url,image,registration
N918LF,Nerbulus,https://flightsim.to/file/20726/cessna-citation-cj4-life-flight-network-n918lf,https://cdn.flightsim.to/images/18/cessna-citation-cj4-life-flight-network-n918lf-fIXwa.jpg?width=275&auto_optimize=medium,N918LF
NASA,Tomahawk,https://flightsim.to/file/1252/nasa-cessna-citation-cj4,https://cdn.flightsim.to/images/02/MdDvZL0r.jpg?width=275&auto_optimize=medium,
NASA Artemis,Tomahawk,https://flightsim.to/file/1253/nasa-artemis-mission-cessna-citation-cj4,https://cdn.flightsim.to/images/02/TG9ou7aI.jpg?width=275&auto_optimize=medium,
Orange C-3D,Stolidus,https://flightsim.to/file/3068/livery-cessna-cj4-c-3d,https://cdn.flightsim.to/images/03/rQuKB1wV.jpg?width=275&auto_optimize=medium,
Red Stripe,Windhover,https://flightsim.to/file/5176/citation-cj4-black-red-livery,https://cdn.flightsim.to/images/16/citation-cj4-black-red-livery-2tfRu.jpg?width=275&auto_optimize=medium,
Red/Black Talon,Windhover,https://flightsim.to/file/6575/citation-cj4-black-red-talon-livery,https://cdn.flightsim.to/images/08/xi2gjY4J.png?width=275&auto_optimize=medium,
Red/Black/Gray,Th3SimPilot,https://flightsim.to/file/3850/citation-cj4-reg-black-gray,https://cdn.flightsim.to/images/05/GqtcPjTi.png?width=275&auto_optimize=medium,
RNZAF,pigloaf,https://flightsim.to/file/12203/citation-cj4-rnzaf,https://images.flightsim.to/images/13/XozTxhlZ.jpg?width=275&auto_optimize=medium,
Silverbullet,twoseventyinc,https://flightsim.to/file/5172/cj4-silverbullet-livery-with-dark-interior,https://cdn.flightsim.to/images/07/sofI2Qyv.png?width=275&auto_optimize=medium,
Silverwing,MonsterMatti,https://flightsim.to/file/13238/citation-cj4-silverwing,https://cdn.flightsim.to/images/13/1a4g3L8R.jpg?width=275&auto_optimize=medium,
Testflight livery,EDRM-Repaints,https://edrm-repaints.com/aircraft.php?id=cj4&i=n52141,https://forums.flightsimulator.com/uploads/default/original/3X/8/8/88b68c70c27b0da6114bbd4278706c0ddf0419c9.jpeg,
Transportes Coyote,Canuckshaw,https://flightsim.to/file/13465/un-official-transportes-coyote-cessna-cj4-for-the-skypark,https://cdn.flightsim.to/images/13/G7uNx3Qi.jpg?width=275&auto_optimize=medium,,
V Pilot,oliveiralberto,https://flightsim.to/file/15517/v-pilot,https://cdn.flightsim.to/images/14/eCFfmGyh.png?width=275&auto_optimize=medium,HK-VPILOT
Weathered Citation CJ4,IASAI,https://flightsim.to/file/4006/weathered-citation-cj4,https://cdn.flightsim.to/images/05/2yBJIl5D.jpg?width=275&auto_optimize=medium,
White Premium,MonsterMatti,https://flightsim.to/file/6068/citation-cj4-white-premium,https://cdn.flightsim.to/images/07/WlApY8KC.jpg?width=275&auto_optimize=medium,
Yellow Gray,Th3SimPilot,https://flightsim.to/file/3840/citation-cj4-yellow-gray,https://cdn.flightsim.to/images/05/MXjUAKiL.png?width=275&auto_optimize=medium,
Yellow Gray (Working Title Branded),Th3SimPilot,https://flightsim.to/file/3951/citation-cj4-working-title,https://cdn.flightsim.to/images/05/oCDvFlm_.png?width=275&auto_optimize=medium,
Yellow Stripes,Th3SimPilot,https://flightsim.to/file/3849/citation-cj4-yellow-stripes,https://cdn.flightsim.to/images/05/InO9Vo0D.png?width=275&auto_optimize=medium,
